Borough,Address,Number of Floors,Zoning District,Year Built,Building Class,Filing Status,Filing Date,Owner Name,Owner Bus Name,Qewi Name,Qewi Bus Name
MANHATTAN,BROAD STREET 117,40,C5-5,1970,RB,UNSAFE,03/16/2017,DAWN  KEYS,125 BROAD CONDOMINIUM,TIMOTHY  WEBB,O&amp;S ASSOCIATES
MANHATTAN,TRINITY PLACE 96,10,C5-5,1958,W1,UNSAFE,07/06/2015,TEH CHETRIT GROUP LLC,MICHAEL J LARKIN,RAND ENGINEERING & ARCHITECT
MANHATTAN,JOHN STREET 103,26,C6-4,1929,O4,UNSAFE,08/17/2012,111 JOHN REALTY CORP,DAVID  MAY,SUPERSTRUCTURES ENG. & ARCH
MANHATTAN,JOHN STREET 103,26,C6-4,1929,O4,UNSAFE,02/16/2017,MENDY  BRAUN,Braun Management Inc,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,BEAVER STREET 26,19,C5-5,1909,D4,UNSAFE,11/07/2013,BEAVER TOWER CORP,THOMAS  FENNIMAN,THOMAS A. FENNIMANARCHITECT
MANHATTAN,BEAVER STREET 26,19,C5-5,1909,D4,UNSAFE,06/13/2019,JACK  LERNER,Beaver Towers Inc c/o Plymouth Management Group In,RYAN  JOHNSON,PVE SHEFFLER LLC
MANHATTAN,BROADWAY 1,13,C5-5,1887,O6,UNSAFE,06/21/2018,STEVEN  DONAHUE,LOGANY LLC,CHRISTOPHER  KELLY,CK ENGINEER P.C.
MANHATTAN,BROADWAY 5,22,C5-5,1898,O4,UNSAFE,02/20/2019,DAVID  BRAUN,BOWLING GREEN ASSOCIATES,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,RECTOR PLACE 333,0,BPC,1985,RM,UNSAFE,02/15/2012,1 RECTOR PARK CONDOMINIUM,ALAN S EPSTEIN,EPSTEIN ENGINEERING P.C
MANHATTAN,RECTOR PLACE 333,0,BPC,1985,RM,UNSAFE,02/15/2017,DARRYL  RANKIN,1 Rector Park Condominium,IVAN  MRAKOVCIC,RAND ENGINEERING &amp; ARCHITECTURE DP
MANHATTAN,WASHINGTON STREET 82,27,C6-9,1969,D5,UNSAFE,12/10/2010,JDM WASHINGTON LLC,ROBERT A LENAHAN,ROBERT A LENAHAN ARCHITECT PC
MANHATTAN,WASHINGTON STREET 82,27,C6-9,1969,D5,UNSAFE,12/10/2010,JDM WASHINGTON LLC,ROBERT A LENAHAN,ROBERT A LENAHAN ARCHITECT PC
MANHATTAN,WASHINGTON STREET 82,27,C6-9,1969,D5,UNSAFE,08/11/2018,JOHN  MEHMEDOVIC,PR,RICHARD  LEFEVER,FACADE MD ARCHITECTURE AND ENGINEER
MANHATTAN,BROAD STREET 30,48,C5-5,1932,O4,UNSAFE,02/17/2012,GOTHAM BROAD LLC,DAVID  SALAMON,SALAMON ENGINEERING GROUP
MANHATTAN,BROAD STREET 30,48,C5-5,1932,O4,UNSAFE,02/21/2017,THOMAS  ROSENBERGER,30 Broad Street Venture LLC,DAVID  SALAMON,SALAMON ENGINEERING PLLC
MANHATTAN,BROAD STREET 35,9,C5-5,1929,W8,UNSAFE,01/27/2012,WALWILHAL ASSOCIATES LLC,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,EXCHANGE PLACE 38,20,C5-5,1902,O4,UNSAFE,01/25/2016,NEWMARK GRUBB KNIGHT FRANK,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,EXCHANGE PLACE 38,20,C5-5,1902,O4,UNSAFE,01/25/2016,NEWMARK GRUBB KNIGHT FRANK,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,EXCHANGE PLACE 38,20,C5-5,1902,O4,UNSAFE,01/25/2016,NEWMARK GRUBB KNIGHT FRANK,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,WALL STREET 55,9,C5-5,1842,RM,UNSAFE,02/20/2015,55 WALL STREET ASSOCIATES LLC,ROY J SOKOLOSKI,ALSA ARCHITECTURE LLC
MANHATTAN,SOUTH WILLIAM STREET 9,7,C5-5,1896,HB,UNSAFE,08/04/2020,SUSAN  FOGEL,SOUTH WILLIAM STREET ASSOCIATES LLC,KENDRA  LOGAN,KELRA CONSULTANTS
MANHATTAN,SOUTH WILLIAM STREET 9,7,C5-5,1896,HB,UNSAFE,02/09/2018,SUSAN  FOGEL,SOUTH WILLIAM STREET ASSOCIATES LLC,KENDRA  LOGAN,KELRA CONSULTANTS
MANHATTAN,BROAD STREET 61,34,C5-5,1928,O4,UNSAFE,02/15/2012,75 BROAD LLC,HOWARD L ZIMMERMAN,HOWARD L ZIMMERMAN ARCHITECT
MANHATTAN,BROAD STREET 61,34,C5-5,1928,O4,UNSAFE,02/16/2017,ALFONSE  AMORE,75 Broad LLC,HOWARD  ZIMMERMAN,HLZIMMERMAN ARCHITECTS
MANHATTAN,WALL STREET 82,12,C5-5,1905,O6,UNSAFE,02/21/2017,JOHN  DAMIANO,CUSHMAN &amp; WAKEFIELD,RICHARD  LEFEVER,FACADE MD ARCHITECTURE AND ENGINEER
MANHATTAN,WALL STREET 72,19,C5-5,1925,RB,UNSAFE,03/13/2019,IVY  MA,BEST WORK HOLDING NEW YORK LLC,PAUL  MILLMAN,SUPERSTRUCTURES ENG. & ARCH.
MANHATTAN,PINE STREET 56,16,C5-5,1894,RM,UNSAFE,02/20/2019,JACK  TEREBELO,56 Pine Street Condominiums,HOWARD  ZIMMERMAN,HLZIMMERMAN ARCHITECTS
MANHATTAN,BROADWAY 120,41,C5-5,1915,RB,UNSAFE,08/16/2012,120 BROADWAY HOLDINGS,STANFORD  CHAN,VIDARIS INC
MANHATTAN,BROADWAY 115,21,C5-5,1907,O4,UNSAFE,01/30/2015,TRINITY CENTRE LLC,ROBERT  JAMES,CANY ARCH & ENG D.P.C
MANHATTAN,BROADWAY 115,21,C5-5,1907,O4,UNSAFE,01/30/2015,TRINITY CENTRE LLC,ROBERT  JAMES,CANY ARCH & ENG. D.P.C
MANHATTAN,BROADWAY 115,21,C5-5,1907,O4,UNSAFE,01/30/2018,DAWN  SHILLINGFORD,TRINITY CENTRE LLC,ROBERT  JAMES,CANY ARCHITECTURE & ENGINEERING DP
MANHATTAN,RECTOR STREET 40,18,C6-9,1921,RB,UNSAFE,02/21/2007,40 RECTOR OWNER LLC,JOHN  MURRAY,CASEWORKS ARCHITECT PLLC
MANHATTAN,MAIDEN LANE 15,20,C5-5,1908,O4,UNSAFE,08/09/2018,MELVIN  HELLER,HELLER PROPERTIES,MARTIN  GRIGGS,WALTER B. MELVIN ARCHITECTS LLC
MANHATTAN,JOHN STREET 12,13,C5-5,1900,D6,UNSAFE,05/24/2011,TRIAD CAPITAL LLC,ANDREW H GOODRICH,AGPE
MANHATTAN,JOHN STREET 12,13,C5-5,1900,D6,UNSAFE,05/24/2011,TRIAD CAPITAL LLC,ANDREW H GOODRICH,AGPE
MANHATTAN,JOHN STREET 12,13,C5-5,1900,D6,UNSAFE,10/11/2019,CIRO  SALCEDO,PR,NICHOLAS  MELONE,MELONE ARCHITECTS
MANHATTAN,JOHN STREET 116,35,C5-5,1931,D7,UNSAFE,05/19/2016,116 JOHN ST. SUBTENANT LLC,BRADFORD T KIEFER,GACE CONSULTING ENG. DPC
MANHATTAN,JOHN STREET 45,14,C6-4,1908,RM,UNSAFE,07/25/2008,45 JOHN ST LLC MANH CAPITAL RE,ALAN S EPSTEIN,EPSTEIN ENGINEERING P.C
MANHATTAN,JOHN STREET 45,14,C6-4,1908,RM,UNSAFE,08/21/2012,45 JOHN STREET LLC,ALAN S EPSTEIN,EPSTEN ENGINEERING P.C
MANHATTAN,JOHN STREET 45,14,C6-4,1908,RM,UNSAFE,05/18/2018,JOHN  ANDOCOECHEA,AVACON BUILDERS,EDWARD  SIMONIELLO,SW ENGINEERING COMPANY PLLC
MANHATTAN,NASSAU STREET 87,12.5,C5-5,1900,RM,UNSAFE,10/19/2017,JOSHUA D HOLZER,130 Fulton Street Condominium,HOWARD  ZIMMERMAN,HLZIMMERMAN ARCHITECTS
MANHATTAN,BEEKMAN STREET 3,46,C5-5,1883,RM,UNSAFE,10/29/2013,GFI CAPITALINC,CHAN  STANFORD,VIDARISINC
MANHATTAN,BEEKMAN STREET 3,46,C5-5,1883,RM,UNSAFE,05/18/2007,BEEKMAN DEVELOPMENT LLC,SOLOMON  ROSENZWEIG,SOLOMN M. ROSENZWEIG P.E
MANHATTAN,BEEKMAN STREET 3,46,C5-5,1883,RM,UNSAFE,05/09/2018,ERIC  BASS,BEEKMAN HOTEL,STANFORD  CHAN,VIDARIS INC.
MANHATTAN,FULTON STREET 119,15,C6-4,1919,RM,UNSAFE,10/03/2018,JOSHUA 2126848282 HOLZER,PR,NOUREDINE  BENABDELHAK,ALNOUR CONSULTING ENGINEERING PC
MANHATTAN,ANN STREET 47,7,C6-4,1900,D9,UNSAFE,06/18/2012,METRO LOFT MANAGEMNT,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,ANN STREET 47,7,C6-4,1900,D9,UNSAFE,06/18/2012,METRO LOFT MANAGEMENT,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,WILLIAM STREET 150,20,C6-4,1927,O4,UNSAFE,02/13/2007,150 WILLIAMS STREET ASSO,HEINO  AINSO,AINSO & ASSOCIATES INC
MANHATTAN,WILLIAM STREET 150,20,C6-4,1927,O4,UNSAFE,02/15/2019,DAVID  BRAUN,150 WILLIAM STREET ASSOCIATES,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,FULTON STREET 49,20,C6-4,1981,D3,UNSAFE,12/08/2006,ST. MARGARET'S HOUSE,LAVON  BENJAMIN,FELDKAMINETZKY & COHENPC
MANHATTAN,BROAD STREET 80,37,C5-5,1935,O4,UNSAFE,02/21/2013,80 BROAD STREET PROPER,KAZIMIERZ  CADER,CANY ARCH & ENG D.P.C
MANHATTAN,BATTERY PLACE 17,31,C5-5,1902,RM,UNSAFE,10/07/2005,THE MOINIAN GROUP,BURTON L ROSLYN,ROSLYN CONSULTANTSLLC
MANHATTAN,BATTERY PLACE 17,31,C5-5,1902,RM,UNSAFE,09/24/2012,BATTERY COMMERCIAL ASSOC LLC,BURTON L ROSLYN,ROSLYN CONSULTANTS LLC
MANHATTAN,BATTERY PLACE 17,31,C5-5,1902,RM,UNSAFE,01/06/2017,GABRIEL  DAGAN,Battery Commercial Associates LLC c/o The Moinian ,BURTON  ROSLYN
MANHATTAN,CHAMBERS STREET 301,10,BPC,1989,W1,UNSAFE,11/13/2012,NYC DEPARTMENT OF EDUCATION,PAMELA S JEROME,WASA/STUDIO A
MANHATTAN,CHAMBERS STREET 301,10,BPC,1989,W1,UNSAFE,06/03/2016,NYVC - DOE,BASHKIM  CACI,HAKS ENGINEERS
MANHATTAN,WEST STREET 2,38,BPC,2003,RM,UNSAFE,02/20/2017,BEN  KAZEMI,Ritz Carlton,STANFORD  CHAN,VIDARIS INC.
MANHATTAN,RECTOR PLACE 225,23,BPC,1985,RM,UNSAFE,02/15/2007,YL WEST 87TH STREET LLC,IVAN  BRICE,IVAN BRICE ARCHITECTURE
MANHATTAN,RECTOR PLACE 225,23,BPC,1985,RM,UNSAFE,02/17/2017,FRANK  YURASITS,First Service Residential,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,RECTOR STREET 33,15,C6-9,1920,RM,UNSAFE,03/06/2007,33 RECTOR STREET CONDO,SAM A HAFFEY,HAFFEY ARCHITECTS & ENGINEERS
MANHATTAN,RECTOR STREET 33,15,C6-9,1920,RM,UNSAFE,03/18/2013,33 RECTOR STREET CONDOMINIUM,DANIEL  HAFFEY,HAFFEY ARCHITECTURE ENGINEERING
MANHATTAN,RECTOR STREET 33,15,C6-9,1920,RM,UNSAFE,02/14/2020,THOMAS  CONTEGIACOMO,CONTEGIACOMO AND ASSOCIATES,DANIEL  HAFFEY,HAFFEY ARCHITECTS & ENGINEERS
MANHATTAN,BROADWAY 63,21,C5-5,1917,O4,UNSAFE,02/21/2007,65 BROADWAY ASSOC,IRA N PIERCE,IRA N. PIERCE P.E. P.C
MANHATTAN,WALL STREET 106,27,C6-9,1965,H9,UNSAFE,02/21/2018,FATIMA  DURAN,WELIVE,ALAN  EPSTEIN,EPSTEIN ENGINEERING P.C.
MANHATTAN,BROADWAY 96,23,C5-5,1896,O4,UNSAFE,12/21/2016,TONI ANNE  DI MASO,Craven Management Corporation,PAMELA  JEROME
MANHATTAN,TRINITY PLACE 78,14,C5-5,1921,O3,UNSAFE,01/03/2019,ALLAN  FRIED,123 GREENWICH ST LLC,HAMIDREZA  SAGHARI,NY RESTORATION TECHNOLOGY CORP
MANHATTAN,GREENWICH STREET 110,13,C6-9,1929,D8,UNSAFE,01/17/2019,ANNIE  XIAO,110 GREENWICH LLC,LEVON  SHAGINYAN,SW ENGINEERING
MANHATTAN,GREENWICH STREET 114,13,C6-9,1903,RM,UNSAFE,02/21/2013,GREENWICH PLACE CONDOMINIUM,ELIZABETH  SHIPLEY,RAND ENGINEER & ARCHITECT
MANHATTAN,WASHINGTON STREET 123,56,C6-9,2007,RM,UNSAFE,02/20/2019,JOSEPH  MOINIAN,123 WASHINGTON LLC,SARA  TSIROPINAS,RAND ENGINEERING & ARCHITECTURE DPC
MANHATTAN,WASHINGTON STREET 110,18,C6-9,1926,D8,UNSAFE,02/18/2010,J. HILL ASSOCIATES LLC,KATHLEEN  NEEDHAM INOCCO,MIDTOWN PRESERVATION ARCH. & ENG
MANHATTAN,WASHINGTON STREET 110,18,C6-9,1926,D8,UNSAFE,02/21/2012,J HILL ASSOCIATES LLC,KATHLEEN  NEEDHAM-INOCCO,MIDTOWN PRESERVATION
MANHATTAN,BROADWAY 150,23,C5-5,1924,O4,UNSAFE,02/16/2012,150 BROADWAY NY ASSOCIATES,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,LIBERTY PLACE 6,16,C5-5,1908,O6,UNSAFE,02/13/2007,DAROR ASSOCIATES LLC,HEINO  AINSO,AINSO & ASSOCIATES INC
MANHATTAN,BROADWAY 160,16,C5-5,1908,O6,UNSAFE,02/07/2017,MENDY  BRAUN,Braun Management Inc,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,MAIDEN LANE 6,16,C5-5,1908,O6,UNSAFE,02/07/2017,MENDY  BRAUN,Braun Management Inc,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,LIBERTY PLACE 6,16,C5-5,1908,O6,UNSAFE,02/07/2017,MENDY  BRAUN,Braun Management Inc,DAVID  MAY,SUPERSTRUCTURES ENGINEERING + ARCHI
MANHATTAN,MAIDEN LANE 14,10,C5-5,1900,D7,UNSAFE,02/06/2013,14 MAIDEN LANE ASSOCIATES,HOWARD L ZIMMERMAN,HOWARD L ZIMMERMAN ARCHITECTS
MANHATTAN,MAIDEN LANE 41,44,C5-5,1965,O4,UNSAFE,11/16/2020,ERIK  TANNER,59 MAIDEN LANE ASSOCIATES LLC,HOWARD  ZIMMERMAN,HLZIMMERMAN ARCHITECTS
MANHATTAN,MAIDEN LANE 41,44,C5-5,1965,O4,UNSAFE,08/21/2012,59 MAIDEN LANE ASSOCIATES,KAZIMIERZ  CADER,CANY ARCH & ENG DPC
MANHATTAN,MAIDEN LANE 33,27,C5-5,1986,O4,UNSAFE,02/21/2007,INVESCO REAL ESTATE,RALPH D FORST,FORST CONSULTING CO.INC
MANHATTAN,WILLIAM STREET 100,22,C5-5,1973,O4,UNSAFE,02/20/2018,LAWRENCE  FANTAUZZI,JOHN HANCOCK LIFE INSURANCE CO OF N,DOM  DIAZ,DIAZ ARCHITECTS INC.PA
MANHATTAN,JOHN STREET 90,29,C5-5,1931,RM,UNSAFE,02/21/2012,MAZEL GROUP,ROBERT A LENAHAN,ROBERT LENAHAN ARCHITECT PC
MANHATTAN,FULTON STREET 64,11,C6-4,1900,O6,UNSAFE,02/17/2012,COUNTRY CLUB RECOVERY LLC,JOHN P MONROE,RAND ENGINEERING & ARCHITECT
MANHATTAN,BROADWAY 2,32,C5-5,1958,O4,UNSAFE,02/21/2007,MTA C/O COLLIERS,ISRAEL  BERGER,ISRAEL BERGER & ASSOCIATES LLC
MANHATTAN,BROADWAY 2,32,C5-5,1958,O4,UNSAFE,09/06/2018,JAMES  LYONS,MTA,DOM  DIAZ,DIAZ ARCHITECTS INC.PA
MANHATTAN,SOUTH END AVENUE 395,5,BPC,1983,D6,UNSAFE,03/10/2016,MARINA TOWERS ASSOCIATES,STANFORD  CHAN,VIDARIS INC
MANHATTAN,BEAVER STREET 82,15,C5-5,1904,RM,UNSAFE,02/23/2007,COCOA PARTNERSHIP L.P.,JOHN  WHELAN,GOLDSTEIN ASSOCIATES CONSULTING
MANHATTAN,BEAVER STREET 82,15,C5-5,1904,RM,UNSAFE,03/21/2014,60 PINAPPLE RESIDENCE CORP,DENNIS  MELE,MIDTOWN PRESERVATION
MANHATTAN,BEAVER STREET 56,8,C5-5,1920,RM,UNSAFE,02/17/2017,SHERRI  OKEEFE,Beaver Equities Group LP,ANTHONY  VOLPE
MANHATTAN,WATER STREET 46,11,C5-5,1929,K4,UNSAFE,08/10/2012,WATER PEARL ASSOCIATES LLC,PAUL  MILLMAN,SUPERSTRUCTURES
MANHATTAN,BROADWAY 111,22,C5-5,1905,O4,UNSAFE,01/30/2015,TRINITY CENTRE LLC,ROBERT  JAMES,CANY ARCH & ENG. D.P.C
MANHATTAN,BROADWAY 111,22,C5-5,1905,O4,UNSAFE,02/03/2017,KASTRIOT  QOKU,TRINITY CENTRE LLC,ROBERT  JAMES,CANY ARCHITECTURE &amp; ENGINEERING DP
MANHATTAN,LIBERTY STREET 120,13,C5-5,1900,D7,UNSAFE,02/21/2007,120 LIBERTY STREET LLC,IVAN  BRICE,IVAN BRICE ARCHITECTURE
MANHATTAN,GREENWICH STREET 108,7,C6-9,1935,O6,UNSAFE,08/11/2020,JIAN FENG  DAI,JIELI LLC,LEVON  SHAGINYAN,SW ENGINEERING
MANHATTAN,GREENWICH STREET 108,7,C6-9,1935,O6,UNSAFE,02/21/2007,JOSEPH MARTUSCELLO,ALAN S EPSTEIN,EPSTEIN ENGINEERINGP.C
MANHATTAN,LIBERTY STREET 53,33,C5-5,1910,D4,UNSAFE,02/21/2007,55 LIBERTY ST OWNER'S CO,WALTER B MELVIN,WALTER B.MELVIN ARCHITECTSLLC
MANHATTAN,BROADWAY 166,19,C5-5,1903,RC,UNSAFE,11/05/2018,KEVIN  CLANCY,KDC CONSULTING LLC,TINA  TAPINEKIS,SURFACE DESIGN ARCHITECTS PLLC
MANHATTAN,MAIDEN LANE 21,8,C5-5,1900,D6,UNSAFE,02/20/2007,21-23 MAIDEN LANE REALTY,THOMAS A FENNIMAN,THOMAS A. FENNIMAN ARCHITECT
MANHATTAN,BROADWAY 176,14,C5-5,1927,D4,UNSAFE,02/29/2016,176 BROADWAY OWNERS CORP,BARIS  ACAR,PACE ENGINEERING P.C
MANHATTAN,NASSAU STREET 65,10,C5-5,1920,RM,UNSAFE,02/23/2007,65 NASSAU STREET OWENRS,CHARLES A MERRITT,MERRITT ENGINEERING CONSULTANTS
MANHATTAN,MAIDEN LANE 81,13,C5-5,1958,O6,UNSAFE,09/25/2008,AHRC NYC PROJECTS INC,ALAN S EPSTEIN,EPSTEIN ENGINEERING P.C
MANHATTAN,MAIDEN LANE 81,13,C5-5,1958,O6,UNSAFE,08/21/2012,AHRC,DOMINGO  DIAZ,DIAZ ARCHITECTS
MANHATTAN,FRONT STREET 163,10,C5-3,1915,E9,UNSAFE,03/27/2019,LUYAN  SHI,OCEANWIDE CENTER NY,ALAN  EPSTEIN,EPSTEIN ENGINEERING P.C.
MANHATTAN,SOUTH STREET 85,8,C5-3,1902,D2,UNSAFE,08/25/2006,85 SOUTH STREET LLC,ALAN  EPSTEIN,EPSTEIN ENGINEERINGPC
MANHATTAN,WILLIAM STREET 128,61,C6-4,2017,D6,UNSAFE,02/20/2013,COLLIER INTERNATIONAL,KAZIMIERZ  CADER,CANY ARCH & ENG D.P.C
MANHATTAN,WILLIAM STREET 128,61,C6-4,2017,D6,UNSAFE,02/21/2013,COLLIER INTERNATIONAL,KAZIMIERZ  CADER,CANY ARCH & ENG D.P.C
MANHATTAN,JOHN STREET 55,17,C6-4,1900,H8,UNSAFE,11/03/2016,REFAEL  TESSLER,55 John Street LLC,TERENCE  HUDSON
MANHATTAN,JOHN STREET 59,13,C6-4,1909,RM,UNSAFE,02/21/2018,TODD  MATRAS,AKAM ASSOCIATES INC,ANTHONY  VOLPE,FALCON ENGINERING CO. LLC
MANHATTAN,WEST STREET 140,32,C6-4,1930,RM,UNSAFE,04/09/2019,PAUL  BELEC,140 WEST STREET CONDOMINUM AGENT,PATRICK  ORRICO,FRANK SETA & ASSOC.
MANHATTAN,BARCLAY STREET 2,44,C5-3,1927,O4,UNSAFE,08/10/2012,225 BROADWAY COMPANY LP,DAVID  MAY,SUPERSTRUCTURES ENG. & ARCH
MANHATTAN,FULTON STREET 101,10,C6-4,1940,RM,UNSAFE,02/21/2007,LEVIEV FULTON CLUBLLC,DOUGLAS J LISTER,DOUGLAS J. LISTER ARCHITECT
MANHATTAN,GOLD STREET 69,17,C6-4,1973,D9,UNSAFE,02/16/2007,ALAN  EPSTEIN,EPSTEIN ENGINEERING PC
MANHATTAN,NASSAU STREET 110,12,C5-5,1910,O3,UNSAFE,02/21/2007,ABACUS FED SAVING BANK,MICHAEL D MERCHANT,C.V ASSOCIATES
MANHATTAN,NASSAU STREET 110,12,C5-5,1910,O3,UNSAFE,02/21/2019,MOTT AND PRINCE  MANAGEMENT INC.,Abacus Real Estate Holdings Corp.,MICHAEL  MERCHANT,MICHAEL MERCHANT
MANHATTAN,WATER STREET 275,8,C6-2A,1896,D4,UNSAFE,02/19/2015,SEAPORT TOWERS INC,THOMAS A FENNIMAN,THOMAS A FENNIMAN ARCH
MANHATTAN,MADISON STREET 40,17,R7-2,1950,D6,UNSAFE,10/10/2007,N.Y.C.H.A.,YOUSUF  TAI,HAKS ENGINEERS & LAND SURVEYORS
MANHATTAN,PEARL STREET 388,17,R7-2,1950,D6,UNSAFE,10/10/2007,N.Y.C.H.A.,YOUSUF H TAI,HAKS ENGINEERS & LAND SURVEYORS
MANHATTAN,SOUTH STREET 180,17,R7-2,1950,D6,UNSAFE,10/10/2007,N.Y.C.H.A.,YOUSUF  TAI,HAKS ENGINEERS & LAND SURVEYORS
MANHATTAN,CATHERINE SLIP 20,17,R7-2,1950,D6,UNSAFE,10/10/2007,N.Y.C.H.A.,YOUSUF  TAI,HAKS ENGINEERS & LAND SURVEYORS
MANHATTAN,SOUTH STREET 182,17,R7-2,1950,D6,UNSAFE,10/10/2007,N.Y.C.H.A.,YOUSUF  TAI,HAKS ENGINEERS & LAND SURVEYORS
MANHATTAN,MADISON STREET 40,17,R7-2,1950,D6,UNSAFE,12/31/2012,NYCHA,PAUL  MILLMAN,SUPERSTRUCTURES ENG & ARCH
MANHATTAN,SOUTH STREET 180,17,R7-2,1950,D6,UNSAFE,08/04/2016,NEW YORK CITY HOUSING AUTHORITY,JONATHAN J CELLA,GANDHI ENGINEERING INC
MANHATTAN,CATHERINE SLIP 20,17,R7-2,1950,D6,UNSAFE,09/25/2017,GARY  GUILLAUME,NYC HOUSING AUTHORITY,JONATHAN  CELLA,GANDHI ENGINEERING INC.
MANHATTAN,PEARL STREET 374,17,R7-2,1950,D6,UNSAFE,02/20/2020,LLOYD  VALDEZ,NYCHA,HARENDRA  SEVAK,GANDHI ENGINEERINGINC.
MANHATTAN,ST JAMES PLACE 7,17,R7-2,1950,D6,UNSAFE,08/04/2016,NEW YORK CITY HOUSING AUTHORITY,JONATHAN J CELLA,GANDHI ENGINEERING INC
MANHATTAN,ST JAMES PLACE 15,17,R7-2,1950,D6,UNSAFE,08/04/2016,NEW YORK CITY HOUSING AUTHORITY,JONATHAN J CELLA,GANDHI ENGINEERING INC
MANHATTAN,MADISON STREET 26,17,R7-2,1950,D6,UNSAFE,08/04/2016,NEW YORK CITY HOUSING AUTHORITY,JONATHAN J CELLA,GANDHI ENGINEERING INC
MANHATTAN,ST JAMES PLACE 7,17,R7-2,1950,D6,UNSAFE,12/31/2012,NYCHA,PAUL  MILLMAN,SUPERSTRUCTURES ENG & ARCH
MANHATTAN,ST JAMES PLACE 15,17,R7-2,1950,D6,UNSAFE,09/27/2013,NEW YORK CITY HOUSING AUTHORITY,RONNETTE  RILEY,RONNETTE RILEY ARCHITECT
