Borough,Address,Total Building Floor Area,Zoning District,Assessed Total Value,Owner Name,Permit Issuance date,Permitte Name,Permittee Business Name,Permittee License Type
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,01/11/2021,CHRISTOPHER ASARO,HOLT CONSTRUCTION CORP,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,02/04/2021,CHRISTOPHER ASARO,HOLT CONSTRUCTION CORP,GC
MN,20 RIVER TERRACE,356786,BPC,50614600,RIVER TERRACE ASSOCIATES,03/29/2021,SIMON BARCOE,KLARACON LLC,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,12/08/2004,LAURENCE MARNER,BUTLER ROGERS BASKETT,NW
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,06/21/2019,JAMES MORRISSEY,BROOKFIELD,OW
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,06/24/2019,NICHOLAS SUIDA,SO PLUMBING & HEATING INC,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/01/2020,BEN WALKER,CLUNE CONSTRUCTION CO LP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,08/20/2020,JOHN WHALEN,WHALEN CONSTRUCTION INC,GC
MN,20 RIVER TERRACE,356786,BPC,50614600,RIVER TERRACE ASSOCIATES,08/24/2020,MILOT KRASNIQI,IMPACT PLUMBING INC,MP
MN,200 WEST STREET,2157862,BPC,278424000,GOLDMAN SACHS HEADQUARTERS LLC,10/23/2020,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,200 WEST STREET,2157862,BPC,278424000,GOLDMAN SACHS HEADQUARTERS LLC,10/23/2020,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,04/05/2013,CHRISTOPHER STRNAD,PARKVIEW P&H INC,MP
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,04/05/2013,CHRISTOPHER STRNAD,PARKVIEW P&H INC,MP
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,03/09/2015,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,12/10/2015,NORBERT RAHM,TURNER CONSTRUCTION COMPA,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,05/26/2004,JARYL NG,ATC HOME  DECO,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,12/10/2015,NORBERT RAHM,TURNER CONSTRUCTION COMPA,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,05/26/2004,JARYL NG,ATC HOME  DECO,GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,04/02/2012,MARK GOLDBERG,CPM BUILDERS INC,GC
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,02/27/1996,CARMINE PAMPALONE,BAY RIDGE MECHANICAL,MP
MN,377 RECTOR PLACE,178580,BPC,28438200,LIBERTY HOUSE CONDOMINIUM,08/08/1994,ROBERT O'CONNOR,ELMWOOD PLG & HTG,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/05/1999,JULIO DIAZ,BAUHAUS CONSTRUCION CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,08/01/2013,VINCENT GAMBA,OLYMPIC PLBG & HTG SVC IN,MP
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,10/14/1998,BRIAN HORAN,WORLD FINANCIAL PROPERTIES INC.,OW
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,09/23/2003,SALVATORE GAMBA,OLYMPIC PLG AND HTG CORP,MP
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,08/18/1995,HOWARD SHCREIER,EMPIRE MECH. PLG & HTG.,MP
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,08/18/1995,HOWARD SHCREIER,EMPIRE MECH. PLG & HTG.,MP
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,07/19/2006,JOSEPH PASSENANT,AMERICAN EXPRESS,NW
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,03/24/1999,BRIAN HORAN,WORLD FINANCIAL PROPERTIES,OW
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,09/26/2016,ANTHONY BONADUCE,A. BONADUCE INC,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,04/02/2013,JOANNA FAN,PRESCHOOL OF AMERICA(USA),GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,03/25/1998,LEONARD EHRLICH,DOLE PLG & HTG,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,01/18/2012,THOMAS PARSONS,TISHMAN INTERIORS CORP,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,01/30/2015,KEVIN BARRETT,HUNTER ROBERTS CONST. GRP,GC
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,07/22/1996,GINGO LOUIE,LOMANOX CONSTRUCTION CORP
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,09/24/1992,JAMES FARRELL,HERBERT CONSTRUCTION CO. INC.
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,09/24/1992,JAMES FARRELL,HERBERT CONSTRUCTION CO. INC.
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,05/22/1997,ANDREW OEBELSON,LEHMAN BROTHERS,OW
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,02/09/2012,MATT DI GIORGI,PLAZA CONSTRUCTION CORP,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,02/09/2012,MATT DI GIORGI,PLAZA CONSTRUCTION CORP,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,12/12/2013,JAY HOLT,HOLT CONSTRUCTION CORP,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,12/12/2013,JAY HOLT,HOLT CONSTRUCTION CORP,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,04/27/2016,PETER HULBERT,PLAZA CONSTRUCTION LLC,GC
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,05/03/1995,FRED TAVERNA,NY INTERIOR CONSTRUCTION
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,06/07/1999,IVAN BRICE RA,IVAN BRICE ARCH & ENGINEERING,RA
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,06/07/1999,IVAN BRICE RA,IVAN BRICE ARCH & ENGINEERING,RA
MN,377 RECTOR PLACE,178580,BPC,28438200,LIBERTY HOUSE CONDOMINIUM,04/23/1998,DANIEL LETENDRE,C/O TOD AUFIERO ARCHITECT,OW
MN,377 RECTOR PLACE,178580,BPC,28438200,LIBERTY HOUSE CONDOMINIUM,04/23/1998,DANIEL LETENDRE,C/O TOD AUFIERO ARCHITECT,OW
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,01/11/1995,HENRY GARDNER,S.PLG. CO,MP
MN,280 RECTOR PLACE,81667,BPC,13815500,SOUNDINGS CONDOMINIUM,10/09/1998,EDWARD DOYLE,DOYLE & SONS PLMG & HTG,MP
MN,280 RECTOR PLACE,81667,BPC,13815500,SOUNDINGS CONDOMINIUM,10/09/1998,EDWARD DOYLE,DOYLE & SONS PLMG & HTG,MP
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,05/07/2014,WILLIAMS REYNOLDS,BENCHMARK BUILDERS INC,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/21/1995,JOHN STAPINSKI,PRT CONTRACTING INC.
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/21/1995,JOHN STAPINSKI,PRT CONTRACTING INC.
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,04/09/2008,JAMES COFFEY,CB RICHARD ELLIS INC.,NW
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,04/09/2008,JAMES COFFEY,CB RICHARD ELLIS INC.,NW
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,03/06/2003,MICHEAL FOLEY,AMERICAN EXPRESS,OW
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,05/06/2013,DENISE CONNELLY,TRANSPARENT CONSTRUCTION LLC,NW
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,08/04/1992,APOLINARY GALECKI,INEX CONTRACTING CO
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,10/12/2006,STEVEN BITTERMAN,TSC DESIGN ASSOCIATES INC,NW
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/09/2015,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/02/2017,NORBET RAHM,TURNER CONSTRUCTION COMPA,GC
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,08/04/1992,APOLINARY GALECKI,INEX CONTRACTING CO
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,10/12/2006,STEVEN BITTERMAN,TSC DESIGN ASSOCIATES INC,NW
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/09/2015,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/02/2017,NORBET RAHM,TURNER CONSTRUCTION COMPA,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,12/15/2016,JOSEPH PICARO,SHAWMUT WOODWORKING & SUP,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,11/29/2007,JAMES GRECO,BROOKFIELD PROPERTIES,GC
MN,380 RECTOR PLACE,203837,BPC,36971600,LIBERTY TERRACE CONDOMINIUM,02/20/1997,BARRY BLATT,FREE FLOW,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/28/2012,THOMAS PARSONS,TISHMAN INTERIORS CORP,GC
MN,1 NORTH END AVENUE,502000,BPC,59505300,BOP ONE NORTH END LLC,06/04/2014,KEVIN BARRETT,HUNTER ROBERTS CONST. GRP,GC
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,09/25/1996,ANDREW IMPAGLIAZZO,I.M.P. PLUMBING AND HEATING CORP,MP
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,07/18/1996,VINCENT FIORE,W. F. C. TOWER A COMPANY
MN,300 RECTOR PLACE,106271,BPC,17838900,BATTERY POINTE CONDOMINIUMS-C/O BHS,04/13/2000,PHILIP KRAUSS,FRED SMITH PLUMBING AND HEATING,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,02/22/2017,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,02/02/1996,MILTON BRESLAW,GEORGE BRESLAW & SONS INC,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,08/15/1995,HAROLD BLOCK,PACE PLUMBING CORP.,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/16/2011,JAMES WHITE,WEST 31ST STREET INC,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,04/23/1999,CARMINE SPIRO,CITTY/SUBURBAN PLG CORP,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/16/2011,JAMES WHITE,WEST 31ST STREET INC,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,04/23/1999,CARMINE SPIRO,CITTY/SUBURBAN PLG CORP,MP
MN,300 RECTOR PLACE,106271,BPC,17838900,BATTERY POINTE CONDOMINIUMS-C/O BHS,08/24/1995,HENRY MYERS,HENRY MYERS PLG HTG,MP
MN,300 RECTOR PLACE,106271,BPC,17838900,BATTERY POINTE CONDOMINIUMS-C/O BHS,08/24/1995,HENRY MYERS,HENRY MYERS PLG HTG,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,02/12/2016,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,02/12/2016,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/12/2014,JOHN THOMANN,TURNER CONSTRUCTION COMPA,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/12/2014,JOHN THOMANN,TURNER CONSTRUCTION COMPA,GC
