Borough,Address,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
QN,40-06 WARREN STREET,Concerned Citizens of Queens (Ciudadanos Conscientes de Queens),N,N,N,Y
BK,230 CLASSON AVENUE,St. Mary's Community Services, Inc.,N,N,N,Y
MN,419 EAST 86 STREET,Association to Benefit Children,N,N,N,Y
QN,31-10 THOMSON AVENUE,English Language Center at LaGuardia Community College,N,N,N,Y
QN,85-15 BROADWAY,Reformed Church of Newtown,N,N,N,Y
MN,281 EAST BROADWAY,Henry Street Settlement Parent Center,N,N,N,Y
MN,260 AUDUBON AVENUE,Dominican Foundation CULTURARTE of New York,N,N,N,Y
MN,512 WEST 143 STREET,THE BROTHERHOOD/SISTER SOL,N,N,N,Y
BX,861 CROTONA PARK NORTH,sylk,N,N,N,Y
MN,26 BLEECKER STREET,Planned Parenthood of New York City,N,N,N,Y
MN,26 BLEECKER STREET,Planned Parenthood of New York City,N,N,N,Y
QN,228-06 NORTHERN BOULEVARD,Alley Pond Environmental Center,N,N,N,Y
BK,1901 OCEAN PARKWAY,Sephardic Community Youth Center,N,N,N,Y
MN,651 ACADEMY STREET,Inwood Community Services, Inc.,N,N,N,Y
MN,405 MAIN STREET,USIF World Foundation for Medical Studies in Female Health,N,N,N,Y
BK,460 NOSTRAND AVENUE,Bridge Street Development Corporation,N,N,N,Y
SI,485 CLAWSON STREET,United Activities Unlimited, Inc.,N,N,N,Y
BK,64 BEAVER STREET,Girls Incorporated of New York City,N,N,N,Y
MN,120 WALL STREET,Center for Reproductive Rights,N,N,N,Y
MN,120 WALL STREET,Catalyst, Inc.,N,N,N,Y
MN,120 WALL STREET,Jewish Child Care Association,N,N,N,Y
SI,350 BROADWAY,LIFT (Legal Information for Families Today),N,N,N,Y
MN,826 BROADWAY,Robin Hood Foundation,N,N,N,Y
MN,325 EAST 101 STREET,My Life My Soul, The Unspoken Journey of Life After Domestic Abuse,N,N,N,Y
MN,295 LAFAYETTE STREET,Safe Space NYC, Inc.,N,N,N,Y
MN,4271 BROADWAY,Children's Arts & Science Workshops, Inc.,N,N,N,Y
BX,1776 CLAY AVENUE,East Harlem Council For Community Improvement,N,N,N,Y
BK,388 ATLANTIC AVENUE,The Brooklyn Young Mothers' Collective,N,N,N,Y
BK,767 HICKS STREET,Red Hook Initiative,N,N,N,Y
BK,272 MOFFAT STREET,Bushwick Community Action Association, Inc.,N,N,N,Y
BK,350 BROADWAY,LIFT (Legal Information for Families Today),N,N,N,Y
BK,3295 FULTON STREET,Cypress Hills Child Care Corporation,N,N,N,Y
MN,144 BLEECKER STREET,Bushwick Geographic Targeting Task Force,N,N,N,Y
QN,119-45 UNION TURNPIKE,Queens Jewish Community Council (QJCC),N,N,N,Y
QN,119-45 UNION TURNPIKE,Pragati,N,N,N,Y
MN,280 HENRY STREET,Betances Health Center,N,N,N,Y
MN,350 BROADWAY,LIFT (Legal Information for Families Today),N,N,N,Y
MN,75 MAIDEN LANE,A Better Balance,N,N,N,Y
BX,1055 GRAND CONCOURSE,Neighborhood Association for Inter-Cultural Affairs (NAICA),N,N,N,Y
MN,441 WEST END AVENUE,Jewish Renaissance Center,N,N,N,Y
MN,225 VARICK STREET,Legal Action Center,N,N,N,Y
BX,1720 METROPOLITAN AVENUE,St. Raymond Community Outreach,N,N,N,Y
BK,3815 AVENUE P,Imeinu, Inc.,N,N,N,Y
QN,90-37 CORONA AVENUE,Centro Civico Colombiano,N,N,N,Y
QN,243-02 NORTHERN BOULEVARD,Pride of Judea Community Services,N,N,N,Y
QN,185-14 HILLSIDE AVENUE,Filipino American Human Services, Inc.,N,N,N,Y
MN,90 BROAD STREET,Gay, Lesbian, and Straight Education Network,N,N,N,Y
SI,90 BROAD STREET,Gay, Lesbian, and Straight Education Network,N,N,N,Y
QN,60-05 WOODHAVEN BOULEVARD,Jewish Institute of Queens,N,N,N,Y
BK,249 MANHATTAN AVENUE,Grassroots Organizations Operating Together In Sisterhood Inc.,N,N,N,Y
BK,249 MANHATTAN AVENUE,Huairou Commission,N,N,N,Y
SI,58 NEW DORP PLAZA,Reach to Recovery/American Cancer Society,N,N,N,Y
BK,525 PARKSIDE AVENUE,Flatbush Action Community Day Care Center, Inc.,N,N,N,Y
BK,150 BROADWAY,League of Women Voters of the City of New York Education Fund,N,N,N,Y
