Borough,Address,Total Building Floor Area,Zoning District,Assessed Total Value,Owner Name,Permit Issuance date,Permitte Name,Permittee Business Name,Permittee License Type
MN,98 FRANKLIN STREET,26313,C6-2A,4393350,DDG 100 FRANKLIN LLC,09/10/2020,JOSEPH MILOHNIC,FORWARD MECHANICAL CORP,MP
MN,68 TRINITY PLACE,281121,C5-5,36254200,THE RECTOR CHURCHWARDENS AND VESTRYMEN OF TRINITY,10/08/2020,ZYGMUNT MOSCICKI,PACE PLUMBING CORP,MP
MN,335 CANAL STREET,78292,M1-5B,8953200,335 CANAL STREET,06/05/2020,JEFFREY SIMPSON,ARCH BUILDERS LLC,GC
MN,335 CANAL STREET,78292,M1-5B,8953200,335 CANAL STREET,06/05/2020,JEFFREY SIMPSON,ARCH BUILDERS LLC,GC
MN,335 CANAL STREET,78292,M1-5B,8953200,335 CANAL STREET,03/18/2021,BERNARD WATSON,BEST MECHANICAL SVCS INC,MP
MN,335 CANAL STREET,78292,M1-5B,8953200,335 CANAL STREET,11/11/2020,JEFFREY SIMPSON,ARCH BUILDERS LLC,GC
MN,246 CANAL STREET,0,M1-5,2057850,615 WEST 131ST STREET L.L.C.,06/11/2020,DENNIS ROME,PINNACLE COMMERCIAL DEVEL,GC
MN,246 CANAL STREET,0,M1-5,2057850,615 WEST 131ST STREET L.L.C.,10/20/2020,DENNIS ROME,PINNACLE COMMERCIAL DEVEL,GC
MN,246 CANAL STREET,0,M1-5,2057850,615 WEST 131ST STREET L.L.C.,10/20/2020,DENNIS ROME,PINNACLE COMMERCIAL DEVEL,GC
MN,360 BROADWAY,0,C6-4A,5332950,65 FRANKLIN LLC,08/19/2020,CHARLES BECKER,NOBLE CONSTRUCTION GR LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,05/21/2020,MARC DEPAUL,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,05/21/2020,MARC DEPAUL,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,12/29/2020,ERIC MCGOVERN,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,03/10/2021,MARC DEPAUL,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,03/10/2021,MARC DEPAUL,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,12/16/2020,ERIC MCGOVERN,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,12/16/2020,ERIC MCGOVERN,PAVARINI MCGOVERN LLC,GC
MN,86 WARREN STREET,0,C6-3A,1629000,86-90 WARREN ST. L.L.,08/18/2020,MARC DEPAUL,PAVARINI MCGOVERN LLC,GC
MN,232 EAST BROADWAY,0,R8,735300,222 EAST BROADWAY PROPERTY OWNER LLC,03/01/2021,CHARLES AVOLIO,SUFFOLK CONSTRUCTION COMP,GC
MN,232 EAST BROADWAY,0,R8,735300,222 EAST BROADWAY PROPERTY OWNER LLC,10/15/2020,CHARLES AVOLIO,SUFFOLK CONSTRUCTION COMP,GC
MN,232 EAST BROADWAY,0,R8,735300,222 EAST BROADWAY PROPERTY OWNER LLC,10/15/2020,CHARLES AVOLIO,SUFFOLK CONSTRUCTION COMP,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,04/03/2020,KEVIN MORRISSEY,LENDLEASE(US)CONSTRUCTION,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,04/03/2020,KEVIN MORRISSEY,LENDLEASE(US)CONSTRUCTION,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,06/18/2020,RALPH ESPOSITO,LENDLEASE(US)CONSTRUCTION,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,06/22/2020,GERALD BIANCO,LENDLEASE(US)CONSTRUCTION,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,09/09/2020,GERALD BIANCO,LENDLEASE(US)CONSTRUCTION,GC
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,10/19/2020,LAWRENCE LEVINE,PAR PLUMBING CO. INC,MP
MN,225 CHERRY STREET,1099034,C6-4,153682000,UNAVAILABLE OWNER,10/19/2020,LAWRENCE LEVINE,PAR PLUMBING CO. INC,MP
MN,302 EAST 2 STREET,42951,R8A,2676150,EAST VILLAGE HOMES HOUSING DEVELOPMENT F UND CO IN,02/22/2021,ATHANASIOS AMAXAS,A.A.D. CONSTRUCTION CORP,GC
MN,302 EAST 2 STREET,42951,R8A,2676150,EAST VILLAGE HOMES HOUSING DEVELOPMENT F UND CO IN,11/02/2020,ATHANASIOS AMAXAS,A.A.D. CONSTRUCTION CORP,GC
MN,302 EAST 2 STREET,42951,R8A,2676150,EAST VILLAGE HOMES HOUSING DEVELOPMENT F UND CO IN,11/02/2020,ATHANASIOS AMAXAS,A.A.D. CONSTRUCTION CORP,GC
MN,302 EAST 2 STREET,42951,R8A,2676150,EAST VILLAGE HOMES HOUSING DEVELOPMENT F UND CO IN,11/02/2020,ATHANASIOS AMAXAS,A.A.D. CONSTRUCTION CORP,GC
MN,302 EAST 2 STREET,42951,R8A,2676150,EAST VILLAGE HOMES HOUSING DEVELOPMENT F UND CO IN,12/09/2020,JERRY DIFALCO,PLBG INC,MP
MN,298 EAST 2 STREET,15236,R8A,2222550,298 EAST VILLAGE OWNER LLC,12/30/2020,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,298 EAST 2 STREET,15236,R8A,2222550,298 EAST VILLAGE OWNER LLC,01/04/2021,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,65 WEST BROADWAY,66668,C6-2A,4062150,WARREN MURRAY PROPERTY OWNER LLC,12/29/2020,JOSEPH CHIARELLI,CONSIGLI & ASSOCIATES LLC,GC
MN,65 WEST BROADWAY,66668,C6-2A,4062150,WARREN MURRAY PROPERTY OWNER LLC,12/30/2020,JOSEPH CHIARELLI,CONSIGLI & ASSOCIATES LLC,GC
MN,,0,C6-3A,0,,05/13/2020,DOUGLAS RENNA,CONSIGLI & ASSOCIATES LLC,GC
MN,,0,C6-3A,0,,05/13/2020,DOUGLAS RENNA,CONSIGLI & ASSOCIATES LLC,GC
MN,,0,C6-3A,0,,12/29/2020,ANTHONY ALTIMARI,MARINE PLUMBING & MECH IN,MP
MN,,0,C6-3A,0,,12/29/2020,ANTHONY ALTIMARI,MARINE PLUMBING & MECH IN,MP
MN,,0,C6-3A,0,,12/29/2020,JOSEPH CHIARELLI,CONSIGLI & ASSOCIATES LLC,GC
MN,183 AVENUE B,0,R7A,195300,TOMPKINS 183 LLC,12/16/2020,MICHAEL MICELI,ALL DIMENSION HOME IMPROV,GC
MN,183 AVENUE B,0,R7A,195300,TOMPKINS 183 LLC,12/16/2020,MICHAEL MICELI,ALL DIMENSION HOME IMPROV,GC
MN,88 WALKER STREET,27888,M1-5,2439230,218 HOLDING INC,01/06/2021,LI KONG MA,MPS PLUMBING & HEATING IN,MP
MN,88 WALKER STREET,27888,M1-5,2439230,218 HOLDING INC,03/24/2021,WANGNI LEE,MSL CONSTRUCTION LLC,GC
MN,88 WALKER STREET,27888,M1-5,2439230,218 HOLDING INC,12/15/2020,WANGNI LEE,MSL CONSTRUCTION LLC,GC
MN,88 WALKER STREET,27888,M1-5,2439230,218 HOLDING INC,09/21/2020,WANGNI LEE,MSL CONSTRUCTION LLC,GC
MN,76 BOWERY,14488,C6-1G,3229650,76 BOWERY LLC,07/08/2020,KEITH ZENOBIO,TITAN REALTY & CONSTRUCTI,GC
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,04/06/2020,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,04/06/2020,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,01/05/2021,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,01/28/2021,EUGENE FISHER,VSP MECHANICAL INC,MP
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,03/31/2021,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,75 1 AVENUE,25911,R7A,1306800,75 FIRST AVE CLUB LLC,10/28/2020,JOSEPH KLAYNBERG,WONDER WORKS CONSTR CORP,GC
MN,109 MULBERRY STREET,26697,C6-2G,2301300,ONE ELEVEN PROPERTY LLC,07/08/2020,RALPH LANDOLFI JR,RRP PLUMBING CORP,MP
MN,109 MULBERRY STREET,26697,C6-2G,2301300,ONE ELEVEN PROPERTY LLC,07/08/2020,RALPH LANDOLFI JR,RRP PLUMBING CORP,MP
MN,109 MULBERRY STREET,26697,C6-2G,2301300,ONE ELEVEN PROPERTY LLC,08/24/2020,ROSALIO ROJO,ALL STATE 12 GENERAL CONT,GC
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,06/09/2020,ARBER GREZDA,DONATO PLUMBING INC,MP
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,06/09/2020,ARBER GREZDA,DONATO PLUMBING INC,MP
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,01/19/2021,MILDRED CLAIRE,TISHMAN CONSTRUCTION CORP,GC
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,01/19/2021,MILDRED CLAIRE,TISHMAN CONSTRUCTION CORP,GC
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,01/19/2021,MILDRED CLAIRE,TISHMAN CONSTRUCTION CORP,GC
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,02/16/2021,MILDRED CLAIRE,TISHMAN CONSTRUCTION CORP,GC
MN,454 GREENWICH STREET,0,C6-2A,2630250,445 WASHINGTON LLC,11/23/2020,MILDRED CLAIRE,TISHMAN CONSTRUCTION CORP,GC
MN,300 CHERRY STREET,527043,R7-2,24588500,NYC HOUSING AUTHORITY,05/15/2020,DONAL O'SULLIVAN,NAVILLUS TILE INC,GC
MN,300 CHERRY STREET,527043,R7-2,24588500,NYC HOUSING AUTHORITY,05/15/2020,DONAL O'SULLIVAN,NAVILLUS TILE INC,GC
MN,151 MULBERRY STREET,0,C6-2G,1272600,MULBERRY GRAND OWNER LLC,04/20/2020,SALVATORE NICCHITTA JR,EXOTIC DESIGN & WIRE LLC,GC
MN,151 MULBERRY STREET,0,C6-2G,1272600,MULBERRY GRAND OWNER LLC,01/26/2021,SALVATORE NICCHITTA JR,EXOTIC DESIGN & WIRE LLC,GC
MN,151 MULBERRY STREET,0,C6-2G,1272600,MULBERRY GRAND OWNER LLC,02/18/2021,SALVATORE NICCHITTA JR,EXOTIC DESIGN & WIRE LLC,GC
MN,151 MULBERRY STREET,0,C6-2G,1272600,MULBERRY GRAND OWNER LLC,06/17/2020,ALAN BRUTOSKY,ALAN J BRUTOSKY PLBR CONT,MP
MN,151 MULBERRY STREET,0,C6-2G,1272600,MULBERRY GRAND OWNER LLC,07/01/2020,ALAN BRUTOSKY,ALAN J BRUTOSKY PLBR CONT,MP
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,04/07/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,04/07/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,04/07/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,04/07/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,09/08/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,79 ELDRIDGE STREET,19120,C6-1G,1075950,ELDRIDGE HOTEL LLC,12/10/2020,JOSEPH CHUNG,DLC DEVELOPMENT CORP,GC
MN,32 RUTGERS STREET,1925,R7-2,325800,SOHO NY PROPERTY LLC,02/18/2021,ZUNING LIN,L2 CONSTRUCTION INC,GC
MN, EAST BROADWAY,22694,R7-2,741600,201 EB DEVELOPMENT IIILLC,02/18/2021,DANIEL WISE,JTD BUILDERS LLC,GC
MN, EAST BROADWAY,22694,R7-2,741600,201 EB DEVELOPMENT IIILLC,08/11/2020,DANIEL WISE,JTD BUILDERS LLC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,10/08/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,06/01/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,06/01/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,06/01/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,10/08/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,10/08/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,02/08/2021,JAMES ROMAGNOLI,WDF INC,MP
MN,288 DELANCEY STREET,2948300,R7-2,107939000,NYC HOUSING AUTHORITY,10/08/2020,JOSEPH KRAJCZEWSKI,WDF INC,GC
MN,355 GRAND STREET,6935,C6-2,549000,INTERBORO REALTY MANAGEMENT CORP.,01/19/2021,JIN RONG ZHEN,GRAND BUILDER CONTRACTING,GC
MN,355 GRAND STREET,6935,C6-2,549000,INTERBORO REALTY MANAGEMENT CORP.,03/11/2021,JIN RONG ZHEN,GRAND BUILDER CONTRACTING,GC
MN,355 GRAND STREET,6935,C6-2,549000,INTERBORO REALTY MANAGEMENT CORP.,03/30/2021,JIN RONG ZHEN,GRAND BUILDER CONTRACTING,GC
MN,355 GRAND STREET,6935,C6-2,549000,INTERBORO REALTY MANAGEMENT CORP.,03/30/2021,LOP MOY,FULL CIRCLE PLUMBING CORP,MP
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,03/03/2021,ALDO ESCURRA,MASPETH MECH AND PLBG INC,MP
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN, CLINTON STREET,0,R7A,486450,14 CLINTON HOLDINGS LLC,10/19/2020,SEAN O'SULLIVAN,CASUR MANAGEMENT & MAINT*,GC
MN,208 DELANCEY STREET,0,R8A,929250,NERE LI DEVELOPMENT LLC,02/24/2021,MAY LU,NEW EMPIRE BUILDER CORP,GC
MN,208 DELANCEY STREET,0,R8A,929250,NERE LI DEVELOPMENT LLC,07/14/2020,MAY LU,NEW EMPIRE BUILDER CORP,GC
MN,208 DELANCEY STREET,0,R8A,929250,NERE LI DEVELOPMENT LLC,07/14/2020,MAY LU,NEW EMPIRE BUILDER CORP,GC
MN,208 DELANCEY STREET,0,R8A,929250,NERE LI DEVELOPMENT LLC,09/02/2020,RALPH LANDOLFI JR,RRP PLUMBING CORP,MP
MN,208 DELANCEY STREET,0,R8A,929250,NERE LI DEVELOPMENT LLC,09/02/2020,MAY LU,NEW EMPIRE BUILDER CORP,GC
MN,,0,R7A,0,,08/20/2020,NEIL RIVEROS,Z.L.A PROPERTIES MANAGEME,GC
MN,,0,R7A,0,,09/24/2020,NEIL RIVEROS,Z.L.A PROPERTIES MANAGEME,GC
MN,,0,R7A,0,,09/24/2020,NEIL RIVEROS,Z.L.A PROPERTIES MANAGEME,GC
MN,,0,R7A,0,,11/05/2020,NEIL RIVEROS,Z.L.A PROPERTIES MANAGEME,GC
MN,156 RIVINGTON STREET,0,R7A,566550,ABC NO RIO INC.,10/09/2020,ROBERT WELNER,JOBCO INCORPORATED,GC
MN, AVENUE C,0,R7A,551700,113 WILLOW AVENUE REALTY COMPANY LLC.,07/27/2020,JACOB KATZ,HI-TOWER CONTRACTORS INC,GC
MN,102 CHARLTON STREET,0,M1-6,402300,CHARLTON MANAGEMENT LLC,06/05/2020,DAVID SANI,CHARLTON DEVELOPMENT GRP*,GC
MN,102 CHARLTON STREET,0,M1-6,402300,CHARLTON MANAGEMENT LLC,07/08/2020,JOSEPH MILOHNIC,FORWARD MECHANICAL CORP,MP
MN,102 CHARLTON STREET,0,M1-6,402300,CHARLTON MANAGEMENT LLC,08/25/2020,DAVID SANI,CHARLTON DEVELOPMENT GRP*,GC
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,06/05/2020,PETER PAPAMICHAEL,THE VOREA CONSTRUCTION CO,GC
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,06/05/2020,PETER PAPAMICHAEL,THE VOREA CONSTRUCTION CO,GC
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,06/05/2020,PETER PAPAMICHAEL,THE VOREA CONSTRUCTION CO,GC
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,03/08/2021,RINO DEL CARRO,R&A HEATING & CONTRG CO.I,MP
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,09/17/2020,PETER PAPAMICHAEL,THE VOREA CONSTRUCTION CO,GC
MN,621 GREENWICH STREET,5625,M1-5/R7X,176280,PMG LEROY STREET DEVELOPMENT LLC,09/17/2020,PETER PAPAMICHAEL,THE VOREA CONSTRUCTION CO,GC
