Borough,Address,Elevator Device Type,Job Number,Filing Type,Filing Status,Filing Date
MN,20 MADISON STREET,Elevator,M00357643,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00357615,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358135,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00356560,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00357632,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00356535,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00356560,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00357632,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358118,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358124,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358096,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00356553,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358118,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358124,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00356605,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00357643,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00357615,New Filing,Permit Entire,06/15/2020
MN,20 MADISON STREET,Elevator,M00358135,New Filing,Permit Entire,06/15/2020
MN,750 7 AVENUE,Elevator,M00355556,New Filing,Permit Entire,06/17/2020
MN,1672 BROADWAY,Elevator,M00310279,New Filing,Permit Entire,06/02/2020
MN,319 WEST 125 STREET,Conveyor,M00345420,New Filing,Objections,06/08/2020
MN,1145 AMSTERDAM AVENUE,Elevator,M00354770,New Filing,Permit Entire,06/05/2020
MN,1145 AMSTERDAM AVENUE,Elevator,M00354782,New Filing,Permit Entire,06/05/2020
MN,759 GREENWICH STREET,Elevator,M00356825,New Filing,Permit Entire,06/12/2020
MN,759 GREENWICH STREET,Elevator,M00356825,New Filing,Permit Entire,06/12/2020
MN,123 BANK STREET,Elevator,M00358778,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,403 WEST STREET,Elevator,M00356513,New Filing,Permit Entire,06/11/2020
MN,799 WASHINGTON STREET,Elevator,M00358658,New Filing,Permit Entire,06/18/2020
MN,109 WEST 90 STREET,Elevator,M00358614,New Filing,Permit Entire,06/16/2020
MN,109 WEST 90 STREET,Elevator,M00358705,New Filing,Permit Entire,06/16/2020
MN,212 WEST 83 STREET,Elevator,M00349506,New Filing,Permit Entire,06/18/2020
MN,212 WEST 83 STREET,Elevator,M00349507,New Filing,Permit Entire,06/11/2020
MN,212 WEST 83 STREET,Elevator,M00349507,New Filing,Permit Entire,06/11/2020
MN,560 AMSTERDAM AVENUE,Elevator,M00345497,New Filing,Permit Entire,06/18/2020
MN,120 CLAREMONT AVENUE,Elevator,M00354724,New Filing,Signed Off,06/05/2020
MN,120 CLAREMONT AVENUE,Elevator,M00354724,New Filing,Signed Off,06/05/2020
MN,56 THOMAS STREET,Elevator,M00344124,New Filing,Objections,06/12/2020
MN,56 THOMAS STREET,Elevator,M00344124,New Filing,Objections,06/12/2020
MN,169 WEST 78 STREET,Elevator,M00282956,New Filing,Permit Entire,06/15/2020
MN,613 WEST 29 STREET,Personnel Hoist,M00352725,New Filing,Permit Entire,06/03/2020
MN,580 5 AVENUE,Elevator,M00331660,New Filing,Permit Entire,06/08/2020
MN,27 WEST 55 STREET,Elevator,M00348695,New Filing,Permit Entire,06/17/2020
MN,730 5 AVENUE,Elevator,M00184514,New Filing,Permit Entire,06/16/2020
MN,2135 BROADWAY,Elevator,M00355168,New Filing,Permit Entire,06/16/2020
MN,101 WEST END AVENUE,Elevator,M00259534,New Filing,Permit Entire,06/17/2020
MN,517 WEST 29 STREET,Personnel Hoist,M00358846,New Filing,Objections,06/17/2020
MN,476 11 AVENUE,Personnel Hoist,M00346111,PAA,Approved,06/10/2020
MN,476 11 AVENUE,Personnel Hoist,M00346116,PAA,Approved,06/10/2020
MN,476 11 AVENUE,Personnel Hoist,M00346111,PAA,Approved,06/10/2020
MN,476 11 AVENUE,Personnel Hoist,M00346116,PAA,Approved,06/10/2020
MN,105 DUANE STREET,Elevator,M00353550,New Filing,Permit Entire,06/11/2020
MN,105 DUANE STREET,Elevator,M00353550,New Filing,Permit Entire,06/11/2020
MN,353 WEST 141 STREET,Elevator,M00357451,New Filing,Permit Entire,06/15/2020
MN,353 WEST 141 STREET,Elevator,M00357451,New Filing,Permit Entire,06/15/2020
MN,66 ST NICHOLAS PLACE,Elevator,M00344244,New Filing,Permit Entire,06/16/2020
MN,433 9 AVENUE,Elevator,M00063781,PAA,Pending Plan Examiner Assignment,06/19/2020
MN,825 3 AVENUE,Elevator,M00275894,PAA,Approved,06/01/2020
MN,825 3 AVENUE,Elevator,M00275894,PAA,Approved,06/01/2020
MN,871 1 AVENUE,Elevator,M00354717,New Filing,Permit Entire,06/08/2020
MN,871 1 AVENUE,Elevator,M00354714,New Filing,Permit Entire,06/08/2020
MN,871 1 AVENUE,Elevator,M00354713,New Filing,Permit Entire,06/08/2020
MN,441 WEST 37 STREET,Elevator,M00356232,New Filing,Permit Entire,06/16/2020
MN,321 BROADWAY,Elevator,M00349082,New Filing,Permit Entire,06/12/2020
MN,321 BROADWAY,Elevator,M00349082,New Filing,Permit Entire,06/12/2020
MN,280 BROADWAY,Elevator,M00335835,New Filing,Permit Entire,06/04/2020
MN,61 HAMILTON PLACE,Elevator,M00358698,New Filing,Permit Entire,06/18/2020
MN,40 RIVER ROAD,Elevator,M00341910,New Filing,Objections,06/18/2020
MN,28 EAST 60 STREET,Elevator,M00356770,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,512 WEST 151 STREET,Elevator,M00354622,New Filing,Permit Entire,06/05/2020
MN,2 EAST 70 STREET,Elevator,M00352889,New Filing,Permit Entire,06/02/2020
MN,2 EAST 70 STREET,Elevator,M00352889,New Filing,Permit Entire,06/02/2020
MN,962 5 AVENUE,Elevator,M00331704,New Filing,Permit Entire,06/18/2020
MN,144 EAST 65 STREET,Elevator,M00353413,New Filing,Permit Entire,06/08/2020
MN,3621 BROADWAY,Elevator,M00359794,New Filing,Permit Entire,06/18/2020
MN,223 WEST 21 STREET,Elevator,M00353643,New Filing,Permit Entire,06/08/2020
MN,150 EAST 78TH STREET,Elevator,M00352975,New Filing,Permit Entire,06/10/2020
MN,314 WEST 91 STREET,Elevator,M00309140,New Filing,Permit Entire,06/12/2020
MN,307 WEST 93 STREET,Elevator,M00352711,New Filing,Permit Entire,06/10/2020
MN,307 WEST 93 STREET,Elevator,M00352711,New Filing,Permit Entire,06/10/2020
MN,310 WEST 94 STREET,Elevator,M00352911,New Filing,Permit Entire,06/17/2020
MN,1114 AVENUE OF THE AMER,Elevator,M00193168,PAA,Approved,06/02/2020
MN,1114 AVENUE OF THE AMER,Elevator,M00193171,PAA,Approved,06/01/2020
MN,1114 AVENUE OF THE AMER,Elevator,M00193168,PAA,Approved,06/02/2020
MN,1114 AVENUE OF THE AMER,Elevator,M00193172,PAA,Approved,06/05/2020
MN,7 EAST 44 STREET,Elevator,M00340446,New Filing,Permit Entire,06/04/2020
MN,488 MADISON AVENUE,Elevator,M00360376,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,488 MADISON AVENUE,Elevator,M00360372,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,532 MADISON AVENUE,Elevator,M00353541,New Filing,Permit Entire,06/03/2020
MN,532 MADISON AVENUE,Elevator,M00353541,New Filing,Permit Entire,06/03/2020
MN,2525 AMSTERDAM AVENUE,Elevator,M00353904,New Filing,Permit Entire,06/04/2020
MN,277 PARK AVENUE,Accessibility Lift,M00335298,New Filing,Plan Examiner Review,06/03/2020
MN,299 PARK AVENUE,Elevator,M00355729,New Filing,Permit Entire,06/11/2020
MN,299 PARK AVENUE,Elevator,M00356237,New Filing,Permit Entire,06/18/2020
MN,601 LEXINGTON AVENUE,Elevator,M00359286,New Filing,Permit Entire,06/18/2020
MN,601 LEXINGTON AVENUE,Elevator,M00359284,New Filing,Permit Entire,06/18/2020
MN,252 WEST 40 STREET,Elevator,M00349874,New Filing,Permit Entire,06/09/2020
MN,228 EAST 45 STREET,Elevator,M00345598,New Filing,Permit Entire,06/01/2020
MN,488 EAST 74 STREET,Elevator,M00358237,New Filing,Permit Entire,06/16/2020
MN,101 WEST 23 STREET,Elevator,M00359789,New Filing,Permit Entire,06/18/2020
MN,45 PINEHURST AVENUE,Elevator,M00357373,New Filing,Permit Entire,06/17/2020
MN,620 PARK AVENUE,Elevator,M00316106,New Filing,Pending Plan Examiner Assignment,06/18/2020
MN,926 MADISON AVENUE,Elevator,M00332309,New Filing,Permit Entire,06/04/2020
MN,860 PARK AVENUE,Elevator,M00313496,New Filing,Permit Entire,06/02/2020
MN,115 EAST 61 STREET,Elevator,M00353819,New Filing,Permit Entire,06/03/2020
MN,469 7 AVENUE,Elevator,M00348709,New Filing,Permit Entire,06/17/2020
MN,181 FRANKLIN STREET,Elevator,M00356475,New Filing,Permit Entire,06/12/2020
MN,181 FRANKLIN STREET,Elevator,M00356475,New Filing,Permit Entire,06/12/2020
MN,162 EAST 70 STREET,Elevator,M00353785,New Filing,Permit Entire,06/12/2020
MN,39 WEST 23 STREET,Personnel Hoist,M00103744,PAA,Objections,06/08/2020
BX,455 EAST 142ND STREET,Personnel Hoist,X00332290,PAA,Approved,06/18/2020
BX,455 EAST 142ND STREET,Personnel Hoist,X00332290,PAA,Approved,06/12/2020
BX,455 EAST 142ND STREET,Personnel Hoist,X00332290,PAA,Approved,06/12/2020
MN,25 WEST 32 STREET,Elevator,M00342947,New Filing,Permit Entire,06/04/2020
MN,25 WEST 32 STREET,Elevator,M00342950,New Filing,Permit Entire,06/04/2020
MN,25 WEST 32 STREET,Elevator,M00342947,New Filing,Permit Entire,06/04/2020
MN,25 WEST 32 STREET,Elevator,M00342950,New Filing,Permit Entire,06/04/2020
MN,392 BROADWAY,Elevator,M00266931,New Filing,Permit Entire,06/17/2020
MN,402 EAST 83 STREET,Elevator,M00349200,New Filing,Permit Entire,06/10/2020
MN,196 CANAL STREET,Elevator,M00352166,New Filing,Permit Entire,06/02/2020
MN,196 CANAL STREET,Elevator,M00352166,New Filing,Permit Entire,06/02/2020
MN,13 ELIZABETH STREET,Elevator,M00355191,New Filing,Sign Off Request Initiated,06/09/2020
MN,7 WEST 36 STREET,Elevator,M00358784,New Filing,Permit Entire,06/16/2020
MN,19 WEST 38 STREET,Elevator,M00344931,New Filing,Permit Entire,06/03/2020
MN,51 WEST 39 STREET,Elevator,M00342494,New Filing,Permit Entire,06/01/2020
MN,25 WEST 39 STREET,Elevator,M00353545,New Filing,Permit Entire,06/03/2020
MN,25 WEST 39 STREET,Elevator,M00353545,New Filing,Permit Entire,06/03/2020
MN,15 UNION SQUARE WEST,Elevator,M00359665,New Filing,Permit Entire,06/19/2020
MN,50 VARICK STREET,Elevator,M00352978,New Filing,Objections,06/03/2020
MN,50 VARICK STREET,Elevator,M00352978,New Filing,Objections,06/03/2020
MN,388 GREENWICH STREET,Elevator,M00352562,New Filing,Permit Entire,06/04/2020
MN,78 LAIGHT STREET,Elevator,M00353338,New Filing,Permit Entire,06/19/2020
MN,212 EAST 95 STREET,Elevator,M00345827,New Filing,Permit Entire,06/08/2020
MN,241 MADISON AVENUE,Elevator,M00158440,PAA,Approved,06/08/2020
MN,241 MADISON AVENUE,Elevator,M00158440,PAA,Approved,06/08/2020
MN,23 WEST 116 STREET,Elevator,M00145122,New Filing,Sign Off Request Initiated,06/02/2020
BX,1262 NELSON AVENUE,Elevator,X00179333,New Filing,Permit Entire,06/18/2020
MN,2 LEXINGTON AVENUE,Elevator,M00358549,New Filing,Permit Entire,06/16/2020
MN,160 EAST 23 STREET,Elevator,M00319961,New Filing,Permit Entire,06/02/2020
MN,160 EAST 23 STREET,Elevator,M00319961,New Filing,Permit Entire,06/02/2020
MN,128 EAST 28 STREET,Elevator,M00357445,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,114 EAST 28 STREET,Elevator,M00352821,New Filing,Permit Entire,06/02/2020
MN,114 EAST 28 STREET,Elevator,M00352821,New Filing,Permit Entire,06/02/2020
BX,1435 OGDEN AVENUE,Elevator,X00355725,New Filing,Permit Entire,06/17/2020
MN,271 LEXINGTON AVENUE,Elevator,M00283708,New Filing,Permit Entire,06/16/2020
MN,163 EAST 36 STREET,Elevator,M00358254,New Filing,Permit Entire,06/16/2020
MN,2019 1 AVENUE,Elevator,M00352044,New Filing,Permit Entire,06/05/2020
MN,2070 1 AVENUE,Elevator,M00101694,New Filing,Permit Entire,06/09/2020
MN,2070 1 AVENUE,Elevator,M00101700,New Filing,Permit Entire,06/09/2020
MN,3 WEST 122 STREET,Elevator,M00266924,New Filing,Permit Entire,06/18/2020
BX,164 WILLOW AVENUE,Elevator,X00306460,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,1251 AVENUE OF THE AMER,Elevator,M00346601,New Filing,Permit Entire,06/10/2020
MN,1251 AVENUE OF THE AMER,Elevator,M00346603,New Filing,Permit Entire,06/10/2020
MN,32 WEST 128 STREET,Elevator,M00359770,New Filing,Permit Entire,06/18/2020
MN,223 WEST 46 STREET,Personnel Hoist,M00336593,New Filing,Permit Entire,06/02/2020
MN,240 CENTRAL PARK SOUTH,Elevator,M00358801,New Filing,Permit Entire,06/16/2020
MN,45 PIKE STREET,Elevator,M00354480,New Filing,Permit Entire,06/04/2020
MN,45 PIKE STREET,Elevator,M00354468,New Filing,Plan Examiner Review,06/04/2020
MN,45 PIKE STREET,Elevator,M00354342,New Filing,Permit Entire,06/04/2020
MN,45 PIKE STREET,Elevator,M00354337,New Filing,Permit Entire,06/04/2020
MN,45 PIKE STREET,Elevator,M00354443,New Filing,Permit Entire,06/04/2020
MN,300 CHERRY STREET,Elevator,M00353710,New Filing,Sign Off Request Initiated,06/02/2020
MN,300 CHERRY STREET,Elevator,M00353686,New Filing,Sign Off Request Initiated,06/02/2020
MN,300 CHERRY STREET,Elevator,M00353721,New Filing,Sign Off Request Initiated,06/02/2020
MN,300 CHERRY STREET,Elevator,M00353710,New Filing,Sign Off Request Initiated,06/02/2020
MN,300 CHERRY STREET,Elevator,M00353386,New Filing,Permit Entire,06/01/2020
MN,330 WEST 42 STREET,Elevator,M00349204,New Filing,Permit Entire,06/17/2020
MN,330 WEST 42 STREET,Elevator,M00349020,New Filing,Permit Entire,06/17/2020
MN,272 CHERRY STREET,Elevator,M00353728,New Filing,Permit Entire,06/02/2020
MN,272 CHERRY STREET,Elevator,M00353728,New Filing,Permit Entire,06/02/2020
MN,318 CHERRY STREET,Elevator,M00353697,New Filing,Permit Entire,06/02/2020
MN,318 CHERRY STREET,Elevator,M00353679,New Filing,Permit Entire,06/02/2020
MN,318 CHERRY STREET,Elevator,M00353249,New Filing,Sign Off Request Initiated,06/01/2020
MN,318 CHERRY STREET,Elevator,M00353395,New Filing,Sign Off Request Initiated,06/02/2020
MN,318 CHERRY STREET,Elevator,M00353249,New Filing,Sign Off Request Initiated,06/01/2020
MN,318 CHERRY STREET,Elevator,M00353395,New Filing,Sign Off Request Initiated,06/02/2020
MN,318 CHERRY STREET,Elevator,M00353679,New Filing,Permit Entire,06/02/2020
MN,359 WEST 47 STREET,Elevator,M00356234,New Filing,Objections,06/17/2020
MN,344 WEST 49 STREET,Elevator,M00350977,New Filing,Permit Entire,06/16/2020
MN,1 COLUMBUS CIRCLE,Elevator,M00346878,New Filing,Objections,06/12/2020
MN,1 COLUMBUS CIRCLE,Elevator,M00346878,New Filing,Objections,06/12/2020
MN,414 WEST 48 STREET,Elevator,M00354982,New Filing,Signed Off,06/09/2020
MN,1825 MADISON AVENUE,Elevator,M00283423,New Filing,Permit Entire,06/01/2020
MN,30 WEST 63 STREET,Elevator,M00354370,New Filing,Permit Entire,06/16/2020
MN,32 WEST 72 STREET,Elevator,M00355156,New Filing,Permit Entire,06/09/2020
BX,1022 REV JAMES POLITE AVE,Elevator,X00339761,New Filing,Permit Entire,06/18/2020
MN,350 CATHEDRAL PARKWAY,Elevator,M00300391,New Filing,Permit Entire,06/19/2020
BX,1001 INTERVALE AVENUE,Elevator,X00238478,New Filing,Permit Entire,06/18/2020
MN,320 WEST 78 STREET,Elevator,M00281069,New Filing,Permit Entire,06/16/2020
MN,1100 AMSTERDAM AVENUE,Elevator,M00355864,New Filing,Permit Entire,06/09/2020
MN,227 RIVERSIDE DRIVE,Elevator,M00353365,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,34 WEST 46 STREET,Elevator,M00356068,New Filing,Permit Entire,06/12/2020
MN,34 WEST 46 STREET,Elevator,M00356068,New Filing,Permit Entire,06/12/2020
MN,1260 AVENUE OF THE AMER,Elevator,M00354845,New Filing,Permit Entire,06/11/2020
MN,1260 AVENUE OF THE AMER,Accessibility Lift,M00353340,New Filing,Permit Entire,06/10/2020
MN,1260 AVENUE OF THE AMER,Elevator,M00354727,New Filing,Permit Entire,06/11/2020
MN,1260 AVENUE OF THE AMER,Elevator,M00354845,New Filing,Permit Entire,06/11/2020
MN,1260 AVENUE OF THE AMER,Accessibility Lift,M00353340,New Filing,Permit Entire,06/10/2020
MN,1260 AVENUE OF THE AMER,Elevator,M00354727,New Filing,Permit Entire,06/11/2020
MN,7 WEST 51 STREET,Conveyor,M00352419,New Filing,Permit Entire,06/01/2020
MN,7 WEST 51 STREET,Conveyor,M00352419,PAA,Approved,06/05/2020
MN,9 WEST 57 STREET,Elevator,M00353200,New Filing,Permit Entire,06/11/2020
MN,9 WEST 57 STREET,Elevator,M00353200,New Filing,Permit Entire,06/11/2020
MN,118 PARK AVENUE,Elevator,M00355147,New Filing,Permit Entire,06/08/2020
MN,553 5 AVENUE,Escalator,M00353575,New Filing,Permit Entire,06/03/2020
MN,553 5 AVENUE,Escalator,M00353575,New Filing,Permit Entire,06/03/2020
MN,57 EAST 52 STREET,Elevator,M00339722,New Filing,Objections,06/04/2020
MN,57 EAST 52 STREET,Elevator,M00339725,New Filing,Objections,06/04/2020
MN,57 EAST 52 STREET,Elevator,M00339719,New Filing,Objections,06/04/2020
MN,345 PARK AVENUE,Accessibility Lift,M00353798,New Filing,Objections,06/18/2020
MN,255 EAST BROADWAY,Elevator,M00277923,New Filing,Permit Entire,06/10/2020
MN,299 HENRY STREET,Elevator,M00349810,New Filing,Permit Entire,06/11/2020
MN,299 HENRY STREET,Elevator,M00349810,New Filing,Permit Entire,06/11/2020
MN,715 LEXINGTON AVENUE,Elevator,M00352482,New Filing,Permit Entire,06/01/2020
MN,801 2 AVENUE,Elevator,M00356552,New Filing,Permit Entire,06/12/2020
MN,801 2 AVENUE,Elevator,M00356552,New Filing,Permit Entire,06/12/2020
MN,231 EAST 51 STREET,Elevator,M00284323,New Filing,Objections,06/18/2020
MN,415 EAST 57 STREET,Elevator,M00354935,New Filing,Permit Entire,06/15/2020
MN,415 EAST 57 STREET,Elevator,M00354935,New Filing,Permit Entire,06/15/2020
MN,100 WEST 125 STREET,Elevator,M00356633,New Filing,Permit Entire,06/12/2020
MN,100 WEST 125 STREET,Elevator,M00356633,New Filing,Permit Entire,06/12/2020
MN,270 WEST 119 STREET,Elevator,M00300388,New Filing,Permit Entire,06/19/2020
BX,270 EAST BURNSIDE AVENUE,Elevator,X00359571,New Filing,Permit Entire,06/18/2020
MN,50 EAST 68 STREET,Elevator,M00355738,New Filing,Permit Entire,06/12/2020
MN,50 EAST 68 STREET,Elevator,M00355738,New Filing,Permit Entire,06/12/2020
MN,770 PARK AVENUE,Elevator,M00250545,PAA,Approved,06/08/2020
MN,313 WEST 119 STREET,Elevator,M00300394,New Filing,Permit Entire,06/19/2020
MN,454 MANHATTAN AVENUE,Elevator,M00300392,New Filing,Permit Entire,06/10/2020
MN,235 ST NICHOLAS AVENUE,Elevator,M00350667,New Filing,Permit Entire,06/02/2020
MN,235 ST NICHOLAS AVENUE,Elevator,M00350667,New Filing,Permit Entire,06/02/2020
MN,235 ST NICHOLAS AVENUE,Elevator,M00350630,New Filing,Permit Entire,06/02/2020
MN,125 EAST 63 STREET,Elevator,M00327183,New Filing,Permit Entire,06/12/2020
MN,125 EAST 63 STREET,Elevator,M00327183,New Filing,Permit Entire,06/12/2020
MN,302 WEST 127 STREET,Elevator,M00353073,New Filing,Permit Entire,06/02/2020
MN,181 CONVENT AVENUE,Elevator,M00336164,New Filing,Objections,06/01/2020
MN,60 PITT STREET,Elevator,M00353155,New Filing,Permit Entire,06/01/2020
MN,53 PITT STREET,Elevator,M00358845,New Filing,Permit Entire,06/16/2020
MN,8 EAST 96 STREET,Elevator,M00333707,New Filing,Permit Entire,06/15/2020
MN,8 EAST 96 STREET,Elevator,M00333707,New Filing,Permit Entire,06/15/2020
MN,1524 3 AVENUE,Elevator,M00351592,New Filing,Permit Entire,06/03/2020
MN,1524 3 AVENUE,Elevator,M00351592,New Filing,Permit Entire,06/03/2020
MN,134 AVENUE D,Elevator,M00355506,New Filing,Permit Entire,06/08/2020
MN,134 AVENUE D,Elevator,M00354854,New Filing,Permit Entire,06/05/2020
MN,134 AVENUE D,Elevator,M00354837,New Filing,Permit Entire,06/05/2020
MN,134 AVENUE D,Elevator,M00354868,New Filing,Permit Entire,06/05/2020
MN,134 AVENUE D,Elevator,M00354892,New Filing,Permit Entire,06/05/2020
MN,134 AVENUE D,Elevator,M00355495,New Filing,Permit Entire,06/08/2020
MN,134 AVENUE D,Elevator,M00355539,New Filing,Permit Entire,06/08/2020
MN,134 AVENUE D,Elevator,M00355521,New Filing,Permit Entire,06/08/2020
MN,132 AVENUE D,Elevator,M00354793,New Filing,Permit Entire,06/05/2020
MN,132 AVENUE D,Elevator,M00354778,New Filing,Permit Entire,06/05/2020
MN,132 AVENUE D,Elevator,M00355451,New Filing,Permit Entire,06/08/2020
MN,132 AVENUE D,Elevator,M00355471,New Filing,Permit Entire,06/08/2020
MN,132 AVENUE D,Elevator,M00355252,New Filing,Permit Entire,06/08/2020
MN,132 AVENUE D,Elevator,M00355277,New Filing,Permit Entire,06/08/2020
MN,132 AVENUE D,Elevator,M00354758,New Filing,Permit Entire,06/05/2020
MN,152 AVENUE D,Elevator,M00354173,New Filing,Permit Entire,06/03/2020
MN,152 AVENUE D,Elevator,M00354146,New Filing,Permit Entire,06/03/2020
MN,152 AVENUE D,Elevator,M00354173,New Filing,Permit Entire,06/03/2020
MN,152 AVENUE D,Elevator,M00354146,New Filing,Permit Entire,06/03/2020
MN,152 AVENUE D,Elevator,M00354193,New Filing,Permit Entire,06/03/2020
MN,152 AVENUE D,Elevator,M00354921,New Filing,Permit Entire,06/05/2020
MN,152 AVENUE D,Elevator,M00354740,New Filing,Permit Entire,06/05/2020
MN,152 AVENUE D,Elevator,M00354936,New Filing,Permit Entire,06/08/2020
MN,152 AVENUE D,Elevator,M00355214,New Filing,Permit Entire,06/08/2020
MN,152 AVENUE D,Elevator,M00355176,New Filing,Permit Entire,06/08/2020
MN,152 AVENUE D,Elevator,M00354701,New Filing,Permit Entire,06/05/2020
MN,417 EAST 83 STREET,Elevator,M00357612,New Filing,Permit Entire,06/17/2020
MN,428 EAST 87 STREET,Accessibility Lift,M00352234,New Filing,Permit Entire,06/10/2020
MN,1810 1 AVENUE,Elevator,M00353417,New Filing,Permit Entire,06/01/2020
MN,1810 1 AVENUE,Elevator,M00353390,New Filing,Permit Entire,06/01/2020
BX,2320 BRONX PARK EAST,Elevator,X00352955,New Filing,Signed Off,06/05/2020
BX,2320 BRONX PARK EAST,Elevator,X00352955,New Filing,Signed Off,06/05/2020
MN,41 AVENUE B,Elevator,M00300381,New Filing,Permit Entire,06/19/2020
BX,1402 BRISTOW STREET,Elevator,X00353832,New Filing,Permit Entire,06/02/2020
BX,1402 BRISTOW STREET,Elevator,X00353832,New Filing,Permit Entire,06/02/2020
MN,127 EAST 107 STREET,Elevator,M00355744,New Filing,Permit Entire,06/10/2020
MN,127 EAST 107 STREET,Elevator,M00355744,New Filing,Permit Entire,06/10/2020
MN,314 EAST 109 STREET,Elevator,M00354722,New Filing,Permit Entire,06/16/2020
MN,55 WEST 129 STREET,Elevator,M00357642,New Filing,Permit Entire,06/15/2020
MN,760 RIVERSIDE DRIVE,Elevator,M00358868,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,929 ST NICHOLAS AVENUE,Elevator,M00355717,New Filing,Permit Entire,06/16/2020
MN,113 EAST 123 STREET,Elevator,M00350391,New Filing,Permit Entire,06/11/2020
